text,complaint_type,sentiment
"Chai dùng ổn, nhưng nắp hơi khó vặn.",Chất lượng sản phẩm,Bình thường
Chai tạm ổn không quá xuất sắc,Chất lượng sản phẩm,Bình thường
"Dùng được vài tuần, thấy vẫn ổn.",Chất lượng sản phẩm,Bình thường
"Không có gì đặc biệt, nhưng cũng không tệ.",Chất lượng sản phẩm,Bình thường
Sản phẩm giống như mô tả và nhựa cũng tạm ổn.,Chất lượng sản phẩm,Bình thường
Chai không rò rỉ nhưng cảm giác cầm chưa chắc tay.,Chất lượng sản phẩm,Bình thường
Chai hơi to so với mong đợi,Chất lượng sản phẩm,Bình thường
"Thiết kế đơn giản, đúng như mô tả.",Chất lượng sản phẩm,Bình thường
Bình đẹp nhưng nhựa hơi mỏng,Chất lượng sản phẩm,Bình thường
Chưa dùng lần nào nên chưa biết sao,Chất lượng sản phẩm,Bình thường
"Độ bền chưa kiểm chứng được, dùng thử đã.",Chất lượng sản phẩm,Bình thường
"Chai khá cơ bản, không có điểm nổi bật.",Chất lượng sản phẩm,Bình thường
"Mẫu mã giống hình, chất lượng trung bình.",Chất lượng sản phẩm,Bình thường
"Vừa tay, chất lượng ở mức chấp nhận được.",Chất lượng sản phẩm,Bình thường
"Hình thức khá ổn, nhưng khi sử dụng thì cũng bình thường",Chất lượng sản phẩm,Bình thường
"Không có gì đặc biệt như quảng cáo, cũng bình thường.",Chất lượng sản phẩm,Bình thường
"Hàng không bị hỏng hóc, dùng được.",Chất lượng sản phẩm,Bình thường
Lần đầu sử dụng nên cũng không biết chất lượng ra sao.,Chất lượng sản phẩm,Bình thường
"Sản phẩm tương đối đúng mô tả, màu sắc hơi khác chút.",Chất lượng sản phẩm,Bình thường
"Nắp đậy kín, nhưng mở ra hơi khó.",Chất lượng sản phẩm,Bình thường
Bình hơi to nhưng cũng khác chắc chắn,Chất lượng sản phẩm,Bình thường
Màu sắc hơi nhạt so với hình ảnh trên mạng,Chất lượng sản phẩm,Bình thường
Chưa dùng thử nên chưa biết ,Chất lượng sản phẩm,Bình thường
"Nhựa không quá dày, cầm vừa phải.",Chất lượng sản phẩm,Bình thường
Bình đẹp nhưng nhựa hơi mỏng,Chất lượng sản phẩm,Bình thường
"Chai vừa dùng lần đầu đã rò nước, rất bực!",Chất lượng sản phẩm,Bực bội
Chai khá xấu tệ và không giống hình,Chất lượng sản phẩm,Bực bội
"Chai méo mó, không đứng vững, rất thất vọng.",Chất lượng sản phẩm,Bực bội
"Chai nước đến nơi bị móp méo, nhìn rất xấu.",Chất lượng sản phẩm,Bực bội
"Nắp vặn quá lỏng, nước chảy ra làm ướt hết túi.",Chất lượng sản phẩm,Bực bội
"Nhựa quá mỏng, cảm giác như sắp bể đến nơi.",Chất lượng sản phẩm,Bực bội
"Mua về mở ra có mùi nhựa nồng, cực kỳ khó chịu.",Chất lượng sản phẩm,Bực bội
Màu sắc khác hoàn toàn hình ảnh trên mạng.,Chất lượng sản phẩm,Bực bội
"Chai bị xước nhiều chỗ, giống như hàng trưng bày.",Chất lượng sản phẩm,Bực bội
"Gắn nắp không khít, nước rò ra từng giọt.",Chất lượng sản phẩm,Bực bội
"Cảm giác cầm cực kỳ ọp ẹp, không đáng tiền.",Chất lượng sản phẩm,Bực bội
"Chai bị rạn nứt ở đáy, không thể sử dụng",Chất lượng sản phẩm,Bực bội
"Chai lọ nhìn trầy xước, nhìn không mới.",Chất lượng sản phẩm,Bực bội
"Mua về dùng 1 tuần đã nứt, không thể chấp nhận.",Chất lượng sản phẩm,Bực bội
"Nắp rất khó mở, dùng sức mà vẫn không được.",Chất lượng sản phẩm,Bực bội
Không đúng kích thước ghi trong mô tả.,Chất lượng sản phẩm,Bực bội
Chất lượng quá kém so với giá bỏ ra.,Chất lượng sản phẩm,Bực bội
"Chai lọ có mùi lạ, nghi ngờ hàng giả.",Chất lượng sản phẩm,Bực bội
"Sản phẩm nhìn như hàng nhái, không đúng mô tả.",Chất lượng sản phẩm,Bực bội
"Chai cực kỳ dễ trầy xước, vừa dùng đã nhìn cũ.",Chất lượng sản phẩm,Bực bội
Chai lọ về bị trầy xước khắp nơi.,Chất lượng sản phẩm,Bực bội
"Thiết kế không hợp lý, dễ đổ và rò rỉ.",Chất lượng sản phẩm,Bực bội
"Chai dính đầy keo, trông như hàng cũ.",Chất lượng sản phẩm,Bực bội
"Chai lọ trầy xước, nhìn không mới.",Chất lượng sản phẩm,Bực bội
"Chai lọ đến nơi bị móp méo, nhìn rất xấu.",Chất lượng sản phẩm,Bực bội
"Chai chắc chắn, dùng rất yên tâm.",Chất lượng sản phẩm,Hài lòng
"Bình xinh lắm, dán tem vào đẹp hơn hẳn",Chất lượng sản phẩm,Hài lòng
"Nhựa cứng cáp, cảm giác an toàn khi sử dụng.",Chất lượng sản phẩm,Hài lòng
